CSDUID,CSDNAME,area_km2,assigned_ecozone,dominant_ecozone,coverage_pct
1001485,Conception Bay South,61.90603882450637,Boreal Shield,Yes,100.0
1001517,Paradise,32.522274401259295,Boreal Shield,Yes,100.0
1001542,Mount Pearl,15.895362887579134,Boreal Shield,Yes,100.0
1005017,Massey Drive,2.7163330494414604,Boreal Shield,Yes,100.0
1102075,Charlottetown,45.58302942050059,Atlantic Maritime,Yes,100.0
1102080,Stratford,23.24077765410004,Atlantic Maritime,Yes,100.0
1103014,Kensington,3.2564522143183248,Atlantic Maritime,Yes,100.0
1103025,Summerside,28.89017691750979,Atlantic Maritime,Yes,100.0
1202006,Yarmouth,11.142635606224559,Atlantic Maritime,Yes,100.0
1203006,Digby,3.290172658037343,Atlantic Maritime,Yes,100.0
1206004,Bridgewater,14.674786454428158,Atlantic Maritime,Yes,100.0
1206006,Lunenburg,4.219143032966643,Atlantic Maritime,Yes,100.0
1207024,Wolfville,6.704514373049958,Atlantic Maritime,Yes,100.0
1211011,Amherst,12.414812540626361,Atlantic Maritime,Yes,100.0
1212009,Stellarton,9.38031718048314,Atlantic Maritime,Yes,100.0
1212014,New Glasgow,10.25880614829795,Atlantic Maritime,Yes,100.0
1214002,Antigonish,5.252123404958433,Atlantic Maritime,Yes,100.0
1303012,Oromocto,23.28853263563811,Atlantic Maritime,Yes,100.0
1305022,Sussex,9.34281443122048,Atlantic Maritime,Yes,100.0
1306020,Riverview,34.99223038916716,Atlantic Maritime,Yes,100.0
1307022,Moncton,146.12151434508286,Atlantic Maritime,Yes,100.0
1310032,Fredericton,144.40647807216405,Atlantic Maritime,Yes,100.0
1314022,Saint-Quentin,4.293428150584238,Atlantic Maritime,Yes,100.0
2409065,Price,2.6730630042477226,Atlantic Maritime,Yes,100.0
2411040,Trois-Pistoles,7.688347621880233,Atlantic Maritime,Yes,100.0
2421045,Boischatel,21.18953947797441,Boreal Shield,Yes,88.16
2423027,Québec,469.3898346831816,MixedWood Plain,Yes,50.63
2423057,L'Ancienne-Lorette,7.865285258473006,MixedWood Plain,Yes,100.0
2432040,Plessisville,5.0567110934589055,MixedWood Plain,Yes,100.0
2437067,Trois-Rivières,301.2045976342449,MixedWood Plain,Yes,100.0
2439062,Victoriaville,88.30798226833426,MixedWood Plain,Yes,100.0
2441060,East Angus,8.622241668376322,Atlantic Maritime,Yes,100.0
2442098,Richmond,7.684612041153515,Atlantic Maritime,Yes,100.0
2443027,Sherbrooke,377.35817947588936,Atlantic Maritime,Yes,100.0
2446035,Bedford,4.534628830523025,MixedWood Plain,Yes,100.0
2447017,Granby,160.1769882263951,MixedWood Plain,Yes,100.0
2447025,Waterloo,13.961234726380235,MixedWood Plain,Yes,80.02
2449075,Notre-Dame-du-Bon-Conseil,4.541145946230405,MixedWood Plain,Yes,100.0
2452035,Berthierville,7.0219773300182915,MixedWood Plain,Yes,100.0
2452080,Saint-Gabriel,13.140487097397326,Boreal Shield,Yes,100.0
2453050,Saint-Joseph-de-Sorel,1.4429729777753182,MixedWood Plain,Yes,100.0
2453052,Sorel-Tracy,60.835994634000215,MixedWood Plain,Yes,100.0
2454025,Sainte-Madeleine,5.525840744457855,MixedWood Plain,Yes,100.0
2456083,Saint-Jean-sur-Richelieu,241.0870129316303,MixedWood Plain,Yes,100.0
2457005,Chambly,28.405278591970152,MixedWood Plain,Yes,100.0
2457020,Saint-Basile-le-Grand,37.95021479802752,MixedWood Plain,Yes,100.0
2457025,McMasterville,3.4747992010674915,MixedWood Plain,Yes,100.0
2457030,Otterburn Park,5.894538672609087,MixedWood Plain,Yes,100.0
2457035,Mont-Saint-Hilaire,46.991923641810295,MixedWood Plain,Yes,100.0
2457040,Beloeil,26.23706456945267,MixedWood Plain,Yes,100.0
2458007,Brossard,46.69704214545803,MixedWood Plain,Yes,100.0
2458012,Saint-Lambert,7.795760400972595,MixedWood Plain,Yes,100.0
2458033,Boucherville,73.39198352314499,MixedWood Plain,Yes,100.0
2458037,Saint-Bruno-de-Montarville,45.10082313651883,MixedWood Plain,Yes,100.0
2458227,Longueuil,119.49132310777752,MixedWood Plain,Yes,100.0
2459010,Sainte-Julie,50.27352335184681,MixedWood Plain,Yes,100.0
2460005,Charlemagne,2.381784899317938,MixedWood Plain,Yes,100.0
2460013,Repentigny,64.34501293519578,MixedWood Plain,Yes,100.0
2461025,Joliette,24.194844373003807,MixedWood Plain,Yes,100.0
2461030,Notre-Dame-des-Prairies,19.192694206485083,MixedWood Plain,Yes,100.0
2461035,Saint-Charles-Borromée,19.462514727756076,MixedWood Plain,Yes,100.0
2464008,Terrebonne,158.86007212185177,MixedWood Plain,Yes,100.0
2464015,Mascouche,110.63120470835045,MixedWood Plain,Yes,100.0
2465005,Laval,254.07883564325712,MixedWood Plain,Yes,100.0
2466023,Montréal,376.7306158777741,MixedWood Plain,Yes,100.0
2466032,Westmount,4.168906108101522,MixedWood Plain,Yes,100.0
2466047,Montréal-Ouest,1.4105070906692847,MixedWood Plain,Yes,100.0
2466058,Côte-Saint-Luc,7.251679425941719,MixedWood Plain,Yes,100.0
2466062,Hampstead,1.8488808205775724,MixedWood Plain,Yes,100.0
2466072,Mont-Royal,7.7739342528331115,MixedWood Plain,Yes,100.0
2466087,Dorval,21.60037621111023,MixedWood Plain,Yes,100.0
2466097,Pointe-Claire,19.501925711146285,MixedWood Plain,Yes,100.0
2466102,Kirkland,9.94651552479157,MixedWood Plain,Yes,100.0
2466107,Beaconsfield,11.372647930470023,MixedWood Plain,Yes,100.0
2466112,Baie-D'Urfé,6.22094317884364,MixedWood Plain,Yes,100.0
2466117,Sainte-Anne-de-Bellevue,10.80984470311687,MixedWood Plain,Yes,100.0
2466142,Dollard-Des Ormeaux,15.542377364966988,MixedWood Plain,Yes,100.0
2467015,La Prairie,45.25708341270904,MixedWood Plain,Yes,100.0
2467020,Candiac,17.8562011600449,MixedWood Plain,Yes,100.0
2467025,Delson,7.938105654189154,MixedWood Plain,Yes,100.0
2467030,Sainte-Catherine,9.685998530316214,MixedWood Plain,Yes,100.0
2467035,Saint-Constant,58.95681213270835,MixedWood Plain,Yes,100.0
2467050,Châteauguay,38.45722400126715,MixedWood Plain,Yes,100.0
2468030,Napierville,4.650787346427688,MixedWood Plain,Yes,100.0
2469055,Huntingdon,2.9675828374972393,MixedWood Plain,Yes,100.0
2471033,Les Coteaux,12.137456705213559,MixedWood Plain,Yes,100.0
2471055,Pointe-des-Cascades,2.9759721064458575,MixedWood Plain,Yes,100.0
2471060,L'Île-Perrot,5.661457735650892,MixedWood Plain,Yes,100.0
2471065,Notre-Dame-de-l'Île-Perrot,29.062089840352016,MixedWood Plain,Yes,100.0
2471070,Pincourt,7.335561149893844,MixedWood Plain,Yes,100.0
2471075,Terrasse-Vaudreuil,1.091897237470185,MixedWood Plain,Yes,100.0
2471083,Vaudreuil-Dorion,75.06909906331295,MixedWood Plain,Yes,100.0
2471090,Vaudreuil-sur-le-Lac,1.4275772660163282,MixedWood Plain,Yes,100.0
2472005,Saint-Eustache,72.73549223246378,MixedWood Plain,Yes,100.0
2472010,Deux-Montagnes,6.2591262441903215,MixedWood Plain,Yes,100.0
2472015,Sainte-Marthe-sur-le-Lac,9.200356440470458,MixedWood Plain,Yes,100.0
2472020,Pointe-Calumet,5.192418269625964,MixedWood Plain,Yes,100.0
2473005,Boisbriand,28.53134689230577,MixedWood Plain,Yes,100.0
2473010,Sainte-Thérèse,9.761291729659671,MixedWood Plain,Yes,100.0
2473015,Blainville,57.04309592706044,MixedWood Plain,Yes,100.0
2473020,Rosemère,11.005577795645316,MixedWood Plain,Yes,100.0
2473025,Lorraine,6.074871365225774,MixedWood Plain,Yes,100.0
2473030,Bois-des-Filion,4.489408309108106,MixedWood Plain,Yes,100.0
2475017,Saint-Jérôme,94.16139179715309,Boreal Shield,Yes,84.12
2476055,Grenville,4.430479495046951,MixedWood Plain,Yes,100.0
2480050,Thurso,7.594039925787182,Boreal Shield,Yes,50.46
2481017,Gatineau,392.8951018568891,Boreal Shield,Yes,81.95
2483065,Maniwaki,6.4165375395937225,Boreal Shield,Yes,100.0
2484060,Fort-Coulonge,3.2109631856194576,Boreal Shield,Yes,100.0
2485025,Ville-Marie,12.744596871233092,Boreal Shield,Yes,100.0
2489804,Lac Simon,3.164103490187684,Boreal Shield,Yes,100.0
3501012,Cornwall,64.2045821980018,MixedWood Plain,Yes,100.0
3502008,Hawkesbury,13.941132501001615,MixedWood Plain,Yes,100.0
3502044,Casselman,5.562383924760357,MixedWood Plain,Yes,100.0
3507008,Prescott,5.125679629745961,MixedWood Plain,Yes,100.0
3507015,Brockville,21.800425326628428,MixedWood Plain,Yes,100.0
3507024,Gananoque,7.53408800731101,MixedWood Plain,Yes,100.0
3509004,Smiths Falls,10.400988347573639,MixedWood Plain,Yes,100.0
3509021,Perth,12.930765853855696,MixedWood Plain,Yes,100.0
3509028,Carleton Place,10.754896102765592,MixedWood Plain,Yes,100.0
3512002,Deseronto,2.6299550689782873,MixedWood Plain,Yes,100.0
3514021,Cobourg,23.456362568705078,MixedWood Plain,Yes,100.0
3515014,Peterborough,70.41458084829365,MixedWood Plain,Yes,100.0
3518001,Pickering,244.2709835812291,MixedWood Plain,Yes,100.0
3518005,Ajax,70.8285856832267,MixedWood Plain,Yes,100.0
3518009,Whitby,154.82859756089314,MixedWood Plain,Yes,100.0
3518013,Oshawa,153.63777131158295,MixedWood Plain,Yes,100.0
3519028,Vaughan,287.9851397072113,MixedWood Plain,Yes,100.0
3519036,Markham,222.98928303343146,MixedWood Plain,Yes,100.0
3519038,Richmond Hill,107.16222925230947,MixedWood Plain,Yes,100.0
3519046,Aurora,52.47273405524562,MixedWood Plain,Yes,100.0
3519048,Newmarket,40.30565309272634,MixedWood Plain,Yes,100.0
3520005,Toronto,665.9468475994092,MixedWood Plain,Yes,100.0
3521005,Mississauga,308.71052747818857,MixedWood Plain,Yes,100.0
3521010,Brampton,281.2420023128215,MixedWood Plain,Yes,100.0
3522014,Orangeville,16.145060986040946,MixedWood Plain,Yes,100.0
3522021,Shelburne,6.856724487850712,MixedWood Plain,Yes,100.0
3523008,Guelph,92.71960905181447,MixedWood Plain,Yes,100.0
3524001,Oakville,146.77789987172704,MixedWood Plain,Yes,100.0
3524002,Burlington,196.3269360599142,MixedWood Plain,Yes,100.0
3525005,Hamilton,1188.5517069430405,MixedWood Plain,Yes,100.0
3526032,Welland,89.30233290753722,MixedWood Plain,Yes,100.0
3526043,Niagara Falls,225.9602704018573,MixedWood Plain,Yes,100.0
3526053,St. Catharines,105.7402338496147,MixedWood Plain,Yes,100.0
3526065,Grimsby,72.66546073036938,MixedWood Plain,Yes,100.0
3529006,Brantford,106.26826864320607,MixedWood Plain,Yes,100.0
3530010,Cambridge,121.72999810542143,MixedWood Plain,Yes,100.0
3530013,Kitchener,145.58689788539587,MixedWood Plain,Yes,100.0
3530016,Waterloo,68.44570714992514,MixedWood Plain,Yes,100.0
3531011,Stratford,31.822082788767297,MixedWood Plain,Yes,100.0
3531016,St. Marys,13.544318274048335,MixedWood Plain,Yes,100.0
3532004,Tillsonburg,23.729008050778678,MixedWood Plain,Yes,100.0
3532018,Ingersoll,13.565931666681326,MixedWood Plain,Yes,100.0
3532042,Woodstock,62.02310413875899,MixedWood Plain,Yes,100.0
3534011,Aylmer,6.749455274570849,MixedWood Plain,Yes,100.0
3534021,St. Thomas,38.19825096937232,MixedWood Plain,Yes,100.0
3537034,LaSalle,69.52005987285817,MixedWood Plain,Yes,100.0
3537039,Windsor,155.7581209538709,MixedWood Plain,Yes,100.0
3538019,Petrolia,13.512266722725688,MixedWood Plain,Yes,100.0
3538030,Sarnia,174.89460549986194,MixedWood Plain,Yes,100.0
3538031,Point Edward,3.545311511017157,MixedWood Plain,Yes,100.0
3539036,London,449.2094345457085,MixedWood Plain,Yes,100.0
3540028,Goderich,9.214207619178639,MixedWood Plain,Yes,100.0
3542029,Hanover,10.407361555542304,MixedWood Plain,Yes,100.0
3542059,Owen Sound,25.558470885672524,MixedWood Plain,Yes,100.0
3543031,Collingwood,34.71075784856216,MixedWood Plain,Yes,100.0
3543042,Barrie,111.22348963448428,MixedWood Plain,Yes,100.0
3543052,Orillia,82.89793026283519,MixedWood Plain,Yes,100.0
3543064,Wasaga Beach,61.813570729136835,MixedWood Plain,Yes,100.0
3543074,Midland,38.282625351573124,MixedWood Plain,Yes,100.0
3547002,Arnprior,14.641686930461153,MixedWood Plain,Yes,100.0
3547048,Renfrew,13.479638448093752,MixedWood Plain,Yes,100.0
3547064,Pembroke,16.167999415689273,MixedWood Plain,Yes,100.0
3548021,Mattawa,3.96558486506625,Boreal Shield,Yes,100.0
3549032,Parry Sound,14.452421545748049,Boreal Shield,Yes,100.0
3554052,Englehart,3.0434000866460265,Boreal Shield,Yes,100.0
4601060,Lac du Bonnet,2.239407717254367,Boreal Shield,Yes,100.0
4602037,St-Pierre-Jolys,2.603439954367089,Prairie,Yes,100.0
4602044,Steinbach,37.445108710354745,Prairie,Yes,69.65
4602046,Niverville,8.661230132692763,Prairie,Yes,100.0
4602061,Ste. Anne,4.187163939784005,Prairie,Yes,100.0
4603040,Altona,9.351569979461019,Prairie,Yes,100.0
4603050,Winkler,20.747897119849718,Prairie,Yes,100.0
4603053,Morden,16.54341265470962,Prairie,Yes,100.0
4603074,Carman,4.304471175334292,Prairie,Yes,100.0
4607062,Brandon,80.50552549539948,Prairie,Yes,100.0
4609029,Portage la Prairie,25.7386807611908,Prairie,Yes,100.0
4611040,Winnipeg,471.4652656709198,Prairie,Yes,100.0
4612056,Beausejour,5.4565265625650765,Boreal Plain,Yes,100.0
4613047,Selkirk,25.447998004530966,Boreal Plain,Yes,100.0
4614039,Stonewall,5.947613074927216,Prairie,Yes,100.0
4617050,Dauphin,12.474292347500258,Prairie,Yes,100.0
4618074,Arborg,2.2168147711656454,Boreal Plain,Yes,100.0
4620048,Swan River,6.828684726292227,Boreal Plain,Yes,100.0
4622026,Thompson,19.288587719776725,Boreal Shield,Yes,100.0
4701008,Carnduff,2.660803145990308,Prairie,Yes,100.0
4701024,Estevan,19.264696056250187,Prairie,Yes,100.0
4702047,Weyburn,19.241285569917522,Prairie,Yes,100.0
4703036,Assiniboia,3.951453796694107,Prairie,Yes,100.0
4704048,Maple Creek,4.33347665617853,Prairie,Yes,100.0
4705016,Kipling,2.567418990559737,Prairie,Yes,100.0
4705052,Esterhazy,5.721842918383948,Prairie,Yes,100.0
4706027,Regina,180.65118616528204,Prairie,Yes,100.0
4706030,White City,7.5280871146146975,Prairie,Yes,100.0
4706031,Pilot Butte,5.773346930658696,Prairie,Yes,100.0
4706039,Indian Head,3.0443904296958544,Prairie,Yes,100.0
4707037,Caronport,1.8671029085355548,Prairie,Yes,100.0
4707039,Moose Jaw,66.33901779245095,Prairie,Yes,100.0
4708004,Swift Current,29.470293519557867,Prairie,Yes,100.0
4709012,Yorkton,36.40909232363196,Prairie,Yes,100.0
4710068,Wadena,2.949974413850404,Prairie,Yes,100.0
4711066,Saskatoon,232.0374333729424,Prairie,Yes,100.0
4711068,Warman,13.097150031603446,Prairie,Yes,100.0
4711070,Martensville,14.04161418023198,Prairie,Yes,100.0
4711073,Dalmeny,3.2769527862737253,Prairie,Yes,100.0
4711075,Osler,1.6104272223856955,Prairie,Yes,100.0
4713051,Macklin,3.0039618979593765,Prairie,Yes,100.0
4714044,Tisdale,6.391500698255475,Boreal Plain,Yes,100.0
4714051,Melfort,14.772542136065395,Boreal Plain,Yes,100.0
4714076,Nipawin,8.667604885880854,Boreal Plain,Yes,100.0
4715008,Humboldt,13.424879422268388,Prairie,Yes,100.0
4715028,Waldheim,1.9230995339583443,Prairie,Yes,100.0
4715066,Prince Albert,69.05927193440765,Boreal Plain,Yes,100.0
4715068,Birch Hills,2.3775931639162398,Boreal Plain,Yes,100.0
4716029,North Battleford,33.92501295255652,Prairie,Yes,100.0
4717029,Lloydminster (Part),17.928527279928858,Prairie,Yes,100.0
4717052,Meadow Lake,12.169662843554601,Boreal Plain,Yes,100.0
4801006,Medicine Hat,118.81486463511317,Prairie,Yes,100.0
4802008,Raymond,7.699995925260704,Prairie,Yes,100.0
4802009,Stirling,2.727742078653873,Prairie,Yes,100.0
4802012,Lethbridge,124.23043371989152,Prairie,Yes,100.0
4802013,Coalhurst,3.098198809703219,Prairie,Yes,100.0
4802014,Nobleford,1.8523603654048761,Prairie,Yes,100.0
4802018,Picture Butte,3.024727931895621,Prairie,Yes,100.0
4802019,Coaldale,13.987812189013551,Prairie,Yes,100.0
4802022,Taber,19.607230974581846,Prairie,Yes,100.0
4802029,Vauxhall,2.697145424702974,Prairie,Yes,100.0
4802034,Brooks,19.397542147729954,Prairie,Yes,100.0
4802036,Duchess,1.9309668402059594,Prairie,Yes,100.0
4803002,Magrath,5.970302519215947,Prairie,Yes,100.0
4803004,Cardston,8.573953552974682,Prairie,Yes,100.0
4803026,Nanton,5.142272716115205,Prairie,Yes,100.0
4805018,Strathmore,27.918244231513132,Prairie,Yes,100.0
4805048,Three Hills,6.630076269392306,Prairie,Yes,100.0
4806006,High River,22.537865985521996,Prairie,Yes,100.0
4806009,Turner Valley,5.80972028167814,Prairie,Yes,100.0
4806011,Black Diamond,6.873490855379381,Prairie,Yes,100.0
4806012,Okotoks,38.48585332300943,Prairie,Yes,100.0
4806016,Calgary,836.7533880811487,Prairie,Yes,100.0
4806017,Chestermere,36.41189929968623,Prairie,Yes,100.0
4806019,Cochrane,31.726365162273726,Prairie,Yes,100.0
4806021,Airdrie,84.34905890062245,Prairie,Yes,100.0
4806029,Carstairs,11.726350877206519,Prairie,Yes,100.0
4806034,Olds,14.632160886908569,Prairie,Yes,100.0
4807002,Provost,4.865188035042165,Prairie,Yes,100.0
4807026,Stettler,13.28705782974197,Prairie,Yes,100.0
4807054,Wainwright,12.076966567407819,Prairie,Yes,100.0
4808008,Innisfail,19.59011686837239,Prairie,Yes,100.0
4808011,Red Deer,105.26120841598562,Prairie,Yes,100.0
4808012,Sylvan Lake,22.96125486417285,Boreal Plain,Yes,67.42
4808024,Eckville,1.5734927724691945,Boreal Plain,Yes,100.0
4808026,Bentley,2.1903448670731582,Prairie,Yes,100.0
4808029,Blackfalds,16.84288571100851,Prairie,Yes,100.0
4808031,Lacombe,21.32349068965183,Prairie,Yes,100.0
4808039,Ponoka,17.19449851225575,Prairie,Yes,100.0
4809015,Rocky Mountain House,13.471019532640437,Boreal Plain,Yes,100.0
4810011,Camrose,42.447890516317415,Prairie,Yes,100.0
4810028,Vegreville,13.947613852749805,Prairie,Yes,100.0
4810039,Lloydminster (Part),23.65826145309783,Prairie,Yes,100.0
4810052,Two Hills,3.226951620346372,Prairie,Yes,100.0
4811002,Wetaskiwin,19.045989625553847,Prairie,Yes,100.0
4811013,Beaumont,24.184523315787228,Prairie,Yes,100.0
4811016,Leduc,42.250087942878565,Prairie,Yes,100.0
4811018,Devon,13.867896539010111,Prairie,Yes,100.0
4811019,Calmar,4.535648309160709,Prairie,Yes,100.0
4811048,Stony Plain,35.04555538199801,Prairie,Yes,98.63
4811049,Spruce Grove,36.57492848321854,Prairie,Yes,100.0
4811056,Fort Saskatchewan,55.610509780608794,Prairie,Yes,100.0
4811061,Edmonton,760.1567465489625,Prairie,Yes,100.0
4811062,St. Albert,47.40673458197555,Prairie,Yes,100.0
4811068,Morinville,10.905280270980693,Prairie,Yes,100.0
4812009,Bonnyville,16.23848570488799,Boreal Plain,Yes,100.0
4812018,St. Paul,9.898629312167598,Boreal Plain,Yes,100.0
4813019,Barrhead,8.115510060337861,Boreal Plain,Yes,100.0
4815035,Banff,4.1463904349594545,Montane Cordillera,Yes,100.0
4817029,Slave Lake,13.813483519522533,Boreal Plain,Yes,100.0
4819009,Beaverlodge,5.17684670864776,Boreal Plain,Yes,100.0
4819012,Grande Prairie,130.57748606928766,Boreal Plain,Yes,100.0
5901012,Fernie,15.848526423229622,Montane Cordillera,Yes,100.0
5901022,Cranbrook,32.00836836184978,Montane Cordillera,Yes,100.0
5903004,Creston,8.414590542655533,Montane Cordillera,Yes,100.0
5903011,Salmo,2.475507066883171,Montane Cordillera,Yes,100.0
5903015,Nelson,16.008757662799283,Montane Cordillera,Yes,100.0
5903045,Castlegar,23.142591005964697,Montane Cordillera,Yes,100.0
5905005,Fruitvale,2.6995720762075472,Montane Cordillera,Yes,100.0
5905009,Montrose,1.4607681239723773,Montane Cordillera,Yes,100.0
5905018,Warfield,1.8863738427778873,Montane Cordillera,Yes,100.0
5907005,Osoyoos,10.289445551621581,Montane Cordillera,Yes,100.0
5907009,Keremeos,2.1730610962986785,Montane Cordillera,Yes,100.0
5907014,Oliver,6.017940227805539,Montane Cordillera,Yes,100.0
5907041,Penticton,47.40733714229865,Montane Cordillera,Yes,100.0
5909052,Abbotsford,385.2262595055366,Pacific Maritime,Yes,100.0
5915001,Langley,314.5850234151952,Pacific Maritime,Yes,100.0
5915002,Langley,10.214201274098741,Pacific Maritime,Yes,100.0
5915004,Surrey,323.81417268653786,Pacific Maritime,Yes,100.0
5915007,White Rock,5.122478697596236,Pacific Maritime,Yes,100.0
5915011,Delta,185.3373559256894,Pacific Maritime,Yes,100.0
5915015,Richmond,130.13907435174656,Pacific Maritime,Yes,100.0
5915022,Vancouver,115.26644781048857,Pacific Maritime,Yes,100.0
5915025,Burnaby,91.02853291961121,Pacific Maritime,Yes,100.0
5915029,New Westminster,17.524352010414116,Pacific Maritime,Yes,100.0
5915034,Coquitlam,129.39329451970377,Pacific Maritime,Yes,100.0
5915039,Port Coquitlam,33.656509527519965,Pacific Maritime,Yes,100.0
5915043,Port Moody,26.291161109922097,Pacific Maritime,Yes,100.0
5915046,North Vancouver,162.8954677717622,Pacific Maritime,Yes,100.0
5915051,North Vancouver,11.831956063714001,Pacific Maritime,Yes,100.0
5915055,West Vancouver,88.53158316920181,Pacific Maritime,Yes,100.0
5915065,Lions Bay,2.5239434590975756,Pacific Maritime,Yes,100.0
5917010,Sidney,5.119100242522801,Pacific Maritime,Yes,100.0
5917015,Central Saanich,41.576025778893545,Pacific Maritime,Yes,100.0
5917021,Saanich,107.40177333691035,Pacific Maritime,Yes,100.0
5917030,Oak Bay,10.58053604220229,Pacific Maritime,Yes,100.0
5917034,Victoria,19.564007657844087,Pacific Maritime,Yes,100.0
5917040,Esquimalt,7.115418666209158,Pacific Maritime,Yes,100.0
5917041,Colwood,17.78141452390084,Pacific Maritime,Yes,100.0
5917044,Langford,42.60772826565909,Pacific Maritime,Yes,100.0
5917047,View Royal,14.85926130319641,Pacific Maritime,Yes,100.0
5919012,Duncan,2.07442085956193,Pacific Maritime,Yes,100.0
5919016,Lake Cowichan,9.750262168111366,Pacific Maritime,Yes,100.0
5919021,Ladysmith,12.046943245035903,Pacific Maritime,Yes,100.0
5921007,Nanaimo,92.69533170896206,Pacific Maritime,Yes,100.0
5921018,Parksville,14.567689198852232,Pacific Maritime,Yes,100.0
5921023,Qualicum Beach,17.950599727558416,Pacific Maritime,Yes,100.0
5923008,Port Alberni,20.108477791942892,Pacific Maritime,Yes,100.0
5926005,Comox,16.785874710981727,Pacific Maritime,Yes,100.0
5926010,Courtenay,32.53202482033175,Pacific Maritime,Yes,100.0
5927008,Powell River,30.92212941285555,Pacific Maritime,Yes,100.0
5929005,Gibsons,4.299664201439036,Pacific Maritime,Yes,100.0
5933054,Chase,4.373826104927095,Montane Cordillera,Yes,100.0
5935010,Kelowna,259.6724120974077,Montane Cordillera,Yes,100.0
5937014,Vernon,115.9601896354203,Montane Cordillera,Yes,100.0
5937028,Armstrong,5.1642902547341425,Montane Cordillera,Yes,100.0
5937033,Enderby,4.213821515948111,Montane Cordillera,Yes,100.0
5955014,Dawson Creek,25.83250499905244,Boreal Plain,Yes,100.0
5955034,Fort St. John,31.63944339929468,Boreal Plain,Yes,100.0
